customer_id,month,mrr
CUST00000,2024-01-01,59.0
CUST00000,2024-02-01,59.09
CUST00000,2024-03-01,61.42
CUST00000,2024-04-01,29.5
CUST00000,2024-05-01,29.27
CUST00000,2024-06-01,29.39
CUST00000,2024-07-01,30.49
CUST00000,2024-08-01,27.9
CUST00000,2024-09-01,29.78
CUST00000,2024-10-01,59.94
CUST00000,2024-11-01,58.96
CUST00000,2024-12-01,57.01
CUST00000,2025-01-01,29.53
CUST00000,2025-02-01,29.58
CUST00000,2025-03-01,27.41
CUST00000,2025-04-01,29.91
CUST00000,2025-05-01,29.6
CUST00000,2025-06-01,29.37
CUST00000,2025-07-01,28.21
CUST00000,2025-08-01,30.08
CUST00000,2025-09-01,30.39
CUST00000,2025-10-01,30.06
CUST00000,2025-11-01,29.11
CUST00000,2025-12-01,29.15
CUST00001,2024-01-01,15.0
CUST00001,2024-02-01,15.59
CUST00001,2024-03-01,0.0
CUST00001,2024-04-01,0.0
CUST00001,2024-05-01,0.0
CUST00001,2024-06-01,0.0
CUST00001,2024-07-01,0.0
CUST00001,2024-08-01,0.0
CUST00001,2024-09-01,0.0
CUST00001,2024-10-01,0.0
CUST00001,2024-11-01,0.0
CUST00001,2024-12-01,0.0
CUST00001,2025-01-01,0.0
CUST00001,2025-02-01,0.0
CUST00001,2025-03-01,0.0
CUST00001,2025-04-01,0.0
CUST00001,2025-05-01,0.0
CUST00001,2025-06-01,0.0
CUST00001,2025-07-01,0.0
CUST00001,2025-08-01,0.0
CUST00001,2025-09-01,0.0
CUST00001,2025-10-01,0.0
CUST00001,2025-11-01,0.0
CUST00001,2025-12-01,0.0
CUST00002,2024-01-01,15.0
CUST00002,2024-02-01,0.0
CUST00002,2024-03-01,0.0
CUST00002,2024-04-01,0.0
CUST00002,2024-05-01,0.0
CUST00002,2024-06-01,0.0
CUST00002,2024-07-01,0.0
CUST00002,2024-08-01,0.0
CUST00002,2024-09-01,0.0
CUST00002,2024-10-01,0.0
CUST00002,2024-11-01,0.0
CUST00002,2024-12-01,0.0
CUST00002,2025-01-01,0.0
CUST00002,2025-02-01,0.0
CUST00002,2025-03-01,0.0
CUST00002,2025-04-01,0.0
CUST00002,2025-05-01,0.0
CUST00002,2025-06-01,0.0
CUST00002,2025-07-01,0.0
CUST00002,2025-08-01,0.0
CUST00002,2025-09-01,0.0
CUST00002,2025-10-01,0.0
CUST00002,2025-11-01,0.0
CUST00002,2025-12-01,0.0
CUST00003,2024-01-01,29.0
CUST00003,2024-02-01,27.78
CUST00003,2024-03-01,0.0
CUST00003,2024-04-01,0.0
CUST00003,2024-05-01,0.0
CUST00003,2024-06-01,0.0
CUST00003,2024-07-01,0.0
CUST00003,2024-08-01,0.0
CUST00003,2024-09-01,0.0
